Premise 1,Premise 2,Syllogistic relation,Conclusion
"when a customer places an order online, they take their time to browse the whole of the menu","When you have an online ordering system, customers can arrange their food online",yes,"When you have an online ordering system, customers Take their time to browse whole of the menu"
wilting is resulted by lack of water,the plants in the yard are extremely wilted,yes,the plants in the back yard are in the lack of oxygen
excessive exposure to UV-B radiation can bring about genetic damage,hereditary harm is associated with problem such as skin cancer,yes,excessive exposure to UV-B radiation can bring about problems such as skin cancer
Recent advances in technologies enable omic studies of interactions in multispecies biofilms.,"advances in Internet technologies enabled a virtual marketplace where products and services could be searched, compared, and transacted (i.e. purchases, shared, swapped, etc.) online",no,No conclusion
Scientific innovations and technological improvements contributed to the advancement of agriculture.,a country with high-level cultivation and farming can export foods and have a remarkable income of this way.,yes,Scientific innovations and technological improvements contributed to  export foods and have a remarkable income of this way.
"Local businesses gain more, when money is earned through tourism",Dedicated to helping local people gain more happiness and freedom through mindfulness and meditation practices.,no,No conclusion
"Traditional methods involve filtering, staining, and examining samples under a microscope",Sewage can be monitored for both disease-causing and benign organisms with conventional techniques,yes,"Sewage can be monitored for both disease-causing and benign organisms with filtering, staining, and examining samples under a microscop"
Michel Phelps won a lot of world's champion prize by improved swimming skills.,Enhanced swimming skills of Michael Phelps brought him several world’s champion awards.,no,No conclusion
you can not feel hungry and happy at the same time.,dieters are always starving.,yes,dieters can not feel happy.
"When parents decide to homeschool their children, at least one of them must stay at home","When one parent does not work, the whole family could face financial disadvantages",yes,"When parents decide to homeschool their children, the whole family could face financial disadvantages"
There are two-site airports with a strong structure that engineers built different parts of it like inside or outside's the building.,there are on-site hotels in some airport structures which are built inside or attached to a terminal building,no,No conclusion
Keyser Söze eliminated the Hungarian mob by exploding their ship.,The destruction of Hungarian vessel caught the attention of FBI.,yes,Keyser Söze caught the attention of FBI.
acid rain is extremely dangerous for our forests,Our forests are enormously endangered by the occurence of precipitation containing acid.,no,No conclusion
Injection of Adamantium modifies the bone structure.,The basic structure is changed by injecting the Adamantium.,no,No conclusion
Police found traces of dry blood on the corpse of the victim.,Old blood trail on the body assigned the case as a homicide.,yes,Police assigned the case as homicide.
Homeless people often suffer from depression.,Extreme sadness is usually observed in homeless people,no,No conclusion
"This is the reason why you often see amateur fights where a person who has horrible technique, but is more active, beat his/her opponent.",The physical act of passing through a doorway is the reason why you often walk into a room.,no,No conclusion
Brown sugar is usually made by adding molasses to refined white sugar.,"Sale of Chinese white sugar, Purchase of molasses, agency on international sugar futures trading and sale of brown sugar are common in China.",no,No conclusion
it is always easier to find your favorite item with retail sales,It is always easier to find your sense of value by demeaning another's value.,no,No conclusion
We see future brighter than present if we are convinced by optimism bias.,Optimism bias convinces us the future will be better than present,no,No conclusion
Obesity puts people at risk of type-2 diabetes.,Breathing in compounds of any kind of soot puts people at risk of severe health conditions.,no,No conclusion
"Those who have a healthy diet, live longer lives.",Having a healthy diet greatly contributes to longevity,no,No conclusion
"According to researchers, high blood sugar caused by refined carbs can increase AGEs.",Researchers have found potential link between spikes in blood sugar which refined carbs can cause to higher AGE levels in the body.,no,No conclusion
These frittatas are the rare breakfast menu item that contains large amounts of vegetables.,Fortified breakfast cereals are containing large amount of iron.,no,No conclusion
"after industrial revolution, factories employed people to work on a organized  production team.","working on an ordered group, direct to faster, cheaper, and more efficient production.",yes,"after industrial revolution, factories direct to faster, cheaper, and more efficient production."
"consumption of dead parts of the body, offers cells a chance to rehabilitate damaged organs.",Useful parasites feed off their hosts' dead organs.,yes,Useful No conclusionsites offer cells a chance to rehabilitate damaged organs.
The Mediterranean diet is known to be high in fiber,"Eating foods which are higher in fiber,helps with healthy weight loss and metabolism",yes,Eating foods which are in the Mediterranean diet helps with healthy weight loss and metabolism
Wreckage of petroleum ship in Pacific Ocean severely damaged the environment.,British Petroleum’s ignorance resulted in the sinking of oil tanker in Pacific Ocean.,yes,British Petroleum’s ignorance severely damaged the environment.
Karma plays video games fora long time during a day,Karma plays fora for long hours.,no,No conclusion
If you make sure that the time you need to get up is firmly instilled in your mind you can do away with your annoying alarm clock.,we need to learn the normal elements of the periodic table like Calcium.,no,No conclusion
Forgetfulness can contribute to a weak work performance,People with severe anxiety tend to have difficulties remembering tasks,yes,People with severe anxiety tend to have a weak work performance
non-profit organizations publish critisism against government more often.,The Associated Press (AP) is an American not-for-profit news agency,yes,Associated Press publishes critisism against government more often.
Releasing some material in onion can motivate nerves in the eye. ,stimulation of nerves in the eye  often contribute to a stinging sensation in the eyes.,yes,releasing some material in onion can contribute to a stinging sensation in the eyes
By technology enhancement companies are hiring few people to operate the machine.,You need to surround your self with people who are enhancing you and get enhanced by you.,no,No conclusion
Inner Eurasian residents had emerged on the certain steps of Pastoralism.,Pastoralism is a lifestyle in which economy is based primarily on livestock. ,yes,Inner Eurasian residents’ economy was based primarily on livestock.
loss of vegetation can increase carbon releae,vegetation is lost when wildfires happen,yes,wildfires can increase carbon release
 you will see illusions while awake when you don't sleep more than 3 days,"If you don’t sleep for more than three days, you’ll see hallucinations.",no,No conclusion
 Unrealistic expansion factors can lead to major errors in benefit estimation. ,genetic and psychological factors can lead to major depressive disorder .,no,No conclusion
"The more agreeable someone is, the more likely they are to be trusting.",Trustworthy people are integrity,yes,Agreeable people are integrity.
"In addition to being admired for its beauty and symbolism, the daffodil is grown in Wales to produce galantamine.",Galantamine is a chemical matter that is used to treat Alzheimer's disease.,yes,"In addition to being admired for its beauty and symbolism, the daffodil is grown in Wales to produce a chemical matter that is used to treat Alzheimer's disease."
Bad economic status puts pressure on people to work prolonged.,Rose Byrne thinks social media puts pressure on people to have children.,no,No conclusion
"After that, our number had diminished and we were sprawled in area.",Urban sprawl diminishes available water catchment areas,no,No conclusion
there will be more public project developments with the additional revenue that comes into a community,"Among those who have formed an opinion, more say public projects should not go on any additional sales.",no,No conclusion
that boy can analis different things with different programs such as  Microsoft Excel.,Microsoft Excel has advanced analytical tools.,no,No conclusion
The process of recycling reduces the need for raw materials.,"This desalination process reduces raw water salinity by between 80 and 90 percent, depending on the operating conditions.",no,No conclusion
Adjusting the pressure of a bag can stop backpack-related injuries. ,He stopped to adjust his backpack.,no,No conclusion
Animals in the wild appear to be relatively free from eating disorders .,Disturbed consumption can lead to diabetes. ,yes,Animals in the wild appear to be relatively free from diabetes
Getting familiar with new words fastens the process of learning a foreign language,Reading helps you gain exposure to words used in context,yes,Reading fastens the process of learning a foreign language 
Rapid construction has led to extensive land areas being covered with cement.,Embracing the land with concrete makes the flow of water very strong.,yes,rapid construction has led to making the flow of water very strong
Freely Completing a task is possible in high trust environments,"In environments that are based on trust, you can complete a task with peace of mind.",no,No conclusion
"loss of soil fertility has serious knock-on effects for humans, such as malnutrition.",Land degradation can contribute to a lack of soil productivity. ,yes,"land degaradation can contribute to serious knock-on effects for humans, such as malnutrition."
Drivers who engage in road rage tend to vent their stress or frustration on other motorists who share the road.,Motorists involved in a stressful or emotional phone conversation may inadvertently exhibit aggressive behavior.,yes,Motorists involved in a stressful or emotional phone conversation may vent their stress or frustration on other motorists who share the road
Transport infrastructure consists of fixed installations,"Permanent establishments include roads, railways, airways, waterways, canals and pipelines and terminals",yes,"Transport infrastructure consists of roads, railways, airways, waterways, canals and pipelines and terminals"
"in many species of birds and reptiles, males and females have different colors", A difference in coloration of sexes within a given species is called sexual dichromatism,yes,many species of birds and reptiles are sexual dichromatism
All the members in a family have to have their own personal Apple IDs in order to take part in Family Sharing.,I hope all family members will participate in this share apple pie ceremony.,no,No conclusion
The boss is going to determine our tasks for the next project.,The agricultral engineers are conducting a large investigation to identify the most enriched soil in agricultral sites.,no,No conclusion
When you share your personal information online they can easily be taken by the hackers,Information obtained by hackers can be used in illegal transactions,yes,"When you share your personal information online, they can be used in illegal transactions"
the man wants to have fun in the sun,He wants to enjoy in the sun.,no,No conclusion
Reputation is Talor Swift's prominent album that earned many awards.,The dawn of Metal Gear Solid Series earned Konami a prominent reputation.,no,No conclusion
"The goal behind tapas is to provide a small amount of food to eat while consuming alcohol, so tapas restaurants usually have a full bar or at least a wine list.",Small business often struggle to provide the budget for examination procedures,no,No conclusion
  Mobile phones can stop students from dedicating their full attention to their education. ,not devoting full consideration to studies negatively influences students' school performance,yes,mobile phones can negatively influence students' school performance 
The lesson was about how to inject the drug directly into the base of the spine fluid.,"To become a titan, one must be injected with Titan spine fluid.",no,No conclusion
Workers with long working hours tend to have weak psychic health.,"Psychic and moral exhaustion may reflect negatively on workers' health, the care, and the organization.",no,No conclusion
Added sugars decreased insulin sensitivity and a higher risk of several chronic conditions.,Both brown and white sugar are considered added sugars.,yes,Both brown and white sugar decreased insulin sensitivity and a higher risk of several chronic conditions.
The government must ensure the rights of women in all respects.,one of the women's rights is protection of mothers? particularly during pregnancy and child-rearing.,yes,The government must protect of mothers? particularly during pregnancy and child-rearing.
How well you sleep can also be negatively affected as a result of consuming coffee.,Drinking coffee could also be lowering the quality of your sleep,no,No conclusion
She study a complex lesson mixture of polymers and latex topics.,"Latex is a complex, sticky mixture made of polymers.",no,No conclusion
the creative industries generate income through trade and intellectual property rights,"After 15 Years In WTO, China Still Weak On Many IP Rights Rules",yes,China face many obstacles in generating income from creative industry.
most retail shops are free of paying for shipping costs,most businesses that pay zero cash for delivery expenditure are likely to have better customer services,yes,most retail shops are likely to have better customer services
Dryness on the lips can provide an insight into the lack of moisture in the rest of the body.,Dehydration can be shown through dryness on the lips.,no,No conclusion
Disconnection of energy source annihilated the risk of electrifying in the area.,His riskful and electrifying performance in the area had so much energy to everybody.,no,No conclusion
Free radicals are released by foods that are fried at high temperatures.,Foods fried in oil at high temperatures release free radicals.,no,No conclusion
architecture and urbanism evolved from civic ideals rather than religious or empirical ones and new building types emerged,"In many ancient civilizations, such as those of Egypt and Mesopotamia, architecture and urbanism reflected the the state itself",yes,"In many ancient civilizations, such as those of Egypt and Mesopotamia,the reflection of the state,evolved from civic ideals rather than religious or empirical ones and new building types emerged"
a dry mouth can lead to bad breath caused by bacteria,Drinking lemon juice prevents the building of bacteria,yes,Drinking lemon juice prevents a dry mouth that can lead to bad breath
"With your banking data being prone to theft, all of your personal information is at risk as well",if your financial accounts are held on a bank's server then your financial information could be fair game to being stolen,yes,if your financial accounts are held on a bank's server then all of your personal information is at risk
Japanese Whispers is a compilation album by British group the Cure.,"Most commonly patients have compilations of psychotic, affective, motor, and cognitive symptoms.",no,No conclusion
God had gifted prophets with specific miracles.,Jesus’ miracle was to transmute water into wine.,yes,God can transmute water into wine.
Mean and maximum concentrations of nitrogen oxides are listed.,"From this fold the stratified beds have in large part been removed, the more recent having been almost entirely eroded from the elevated mass.",no,No conclusion
Dopamine is a neurotransmitter associated with pleasure,They zero in on dopamine while leaving other neurotransmitters untouched.,no,No conclusion
"In recent years, many agricultural land owners prefered using chemical fertilizers becuase of its enhancing effect on the crops.", Growing and trading domestic animals is preferred due to lack of ability in enhancement of agriculture in Mongolia.,no,No conclusion
"Pest control includes the management of weeds, insects, mites, and diseases",Integrated pest management attempts to keep pest populations below the number which would give rise to economic loss,yes,"the management of weeds, insects, mites, and diseases attempts to keep pest populations below the number which would give rise to economic loss"
Rapid urbanization is exacerbating the impact of environmental threat,Common natural hazards include flooding and tropical cyclones,yes,Rapid urbanization is exacerbating the impact of flooding and tropical cyclones
"A Mutual relationship between parents and teachers, might help parents to keep up with their child's performance at school","When there is technology in the classroom, then there are more opportunities for parents and teachers to connect with each other",yes,"When there is technology in the classroom, parents can keep up with their child's performance at school"
The clinic's experts say exercise which increases a person's heart rate slowly can help migraine sufferers.,Aerobic exercise and swimming increases a person's heart rate slowly,yes,The clinic's experts say aerobic exercise and swimming can help migraine sufferers.
"Creatine is particularly popular among weightlifters, bodybuilders, and other power athletes.",Weightlifters and bodybuilders use creatine in large amounts.,no,No conclusion
Does Emotional Intelligence Play an Important Role in Leadership Effectiveness?,"Rainwater may play an important role in the process that triggers earthquakes, according to new research.",no,No conclusion
Media coverage of crimes and suspects leads to public awareness,Defense attorneys might face challenges because of communal recognition,yes,Defense attorneys might face challenges because the media coverage of crimes and suspects
Nicotine is a stimulant.,Nicotine has intoxicating effects.,no,No conclusion
We shall preserve our traditional values.,preserving nature have significant influences on the future of our children.,no,No conclusion
"Exercising makes muscles grow, consequently rises their total mass",the weight of muscles has a direct influence on enhancing bone density.,yes,Exercising has an influence on enhancing bone density.
Superman's vitals immadiately dropped as he touched Kryptonite.,Exposure to Kryptonite weakens the  body structure of Kryptonians.,yes,Superman is Kryptonian.
Scientists have discoverd that exposure to the UV light enhances the synthesis of a sensitive protein in body.,Scientists make a protein that is sensitive to light by tweaking the neurons.,no,No conclusion
The amount of foreign investments is very low in unreliable economies,inflationary cycles make an economy seem less reliable,yes,Inflationary cycles reduce the levels of foreign investments
"Life in the Multiverse is dying out and the only creatures that can prevent the extinction of all life, the Sols are perishing as well.",Microplastics can prevent the digestive tracts of aquatic creatures,no,No conclusion
Tourism is a key component of the European economy and will continue to be in the future,Tertiary education is a key component in future economic growth of the country.,no,No conclusion
In the 19th century British soceity was the only advocate for industrial progress.,faster transportation helps to industrial progress in our society.,no,No conclusion
easy access to information helps to shop online at any time of the day or night.,We are not allowed to call the professor any time of the day or night.,no,No conclusion
"In order to become more powerful, we can create bonds with other people.",connection with others makes us stronger,no,No conclusion
Dmitri Mendeleev devised the Periodic Table.,Periodic Table helps to predict the properties of elements,yes,Dmitri Mendeleev helped to predict the properties of elements
"When a company discharges its employers, they become jobless and poor. ",They also become more interested in the food they eat.,no,No conclusion
Eye drops moisturize dehydrated eyes.,Moisturizing eyes improves the sight.,yes,Eye drops improve the sight
Excessive pumping lowers the groundwater table.,"When groundwater levels decline too far, it leads to drying up of wells.",yes,Excessive pumping leads to drying up of wells.
These galaxies usually have low total mass and are fairly rich in dust and gas.,"Bananas are mainly rich in two types of fiber, Pectin and Resistant starch.",no,No conclusion
"Whenever subtle structural changes, hair is most vulnerable to damage.","When hair is wet, subtle structural changes.",yes,"When hair is wet, hair is most vulnerable to damage."
boating on international waters does not require any license, international waters is defined as anything beyond 12 miles from the nearest coastal point of a nation,yes,boating beyond 12 miles from the nearest coastal point of a nation doesn’t require any license
winning an international competition ranks up team's professional statistics.,Iranian baskeball team won the FIBA Asia Championship.,yes,Iranian baskeball team's statistics ranked up
Picture of White cat with a difference in coloration of the eyes is lying in a bunch of books.,A difference in coloration of sexes within a given species is called sexual dichromatism,no,No conclusion
successful students in sports usually have lower grades,The students who thrive is sports tend to have inferior marks.,no,No conclusion
Employment levels can have a tremendous effect on economy-wide purchasing power.,The use of alcohol or other drugs can have a tremendous effect on both an individual's personal and work life.,no,No conclusion
People tend to buy less when thry feel they can't afford purchasing goods,"If people cannot afford to buy goods, they probably do not buy much.",no,No conclusion
"Washing, styling and coloring provide you to lose some of the fibrous proteins that make up your hair's cortex.","Losing some of the fibrous proteins that make up your hair's cortex make your hair thin, fragile and prone to breakage.",yes,"Washing, styling and coloring make your hair thin, fragile and prone to breakage"
People who overthink about their difficulties tend to be sleep-loss.,Sleep-deprived people are more likely to report increased feelings of worthlessness,yes,people who think too much about their problems are more likely to report increased feelings of worthlessness
One of the most common disadvantages of wind turbines is the noise pollution they generate,Typical weaknesses of wind turbines are the reason new wind farms come up against strong public objection,yes,Noise pollution is the reason new wind farms come up against strong public objection
"Learning and practicing behavior therapy requires time and effort, but has lasting benefits for the child.",Hosting a major sporting event has lasting benefits for the nation's health,no,No conclusion
Tesla cars are equipped with auto-pilot technology.,remotely operating cars may instigate catastrophic car accidents.,yes,Tesla carsmay instigate catastrophic car accidents.
Stop smoking in front of children or else you will see a continuous smoking in parents of the future.,Children usually see their smoking parents while they are smoking.,no,No conclusion
most drugs besides having benefits have some side effects,the varying side effects of drugs can alter your mood and emotions ,yes,most drugs besides having benefits can alter your mood and emotions
Most of us spend a large percentage of our day at work,It is very important to enjoy the people you spend most of your time with,yes,It is very important to enjoy the people at work
Massive data project attempts to trace back the DNA of black people.,Tracking the hierarchy of African-Americans will assist them find their enslaved ancestors.,yes,Massive data project will assist black people find their enslaved ancestors.
Bring a well-insulated less heaviy cooler for the pool party.,"You will pay less for bills, once you have installed well-insulated windows",no,No conclusion
feeling alone and helpless often results in depression,One of the factors that lead to depression is the feeling of isolation and powerlessness.,no,No conclusion
Some of the cultural icons are entertainers.,It's a cultural icon to have good entertainers for children.,no,No conclusion
The equipment of solar radiation for residential purposes will contribute to the lowering of the air pollutant levels,"Personnel working with radar, X-ray equipment or near other sources of radiation wear radiation dosage film badges that detect their level of radiation.",no,No conclusion
placing pressure on endangered species can gradually destroy the environmental resources.,The topic on TV was about 'endangered species' destroy the environment.,no,No conclusion
The behaviour of the elephant may lead to a decrease in the amount of carbon dioxide in the atmosphere.,Elephants can be effective in reducing the carbon dioxide of the atmosphere.,no,No conclusion
The transportation system in Paris used to carry about 9500 people which was considered a revolutionary progress in the 1960s.,Invention of wheel is considered as a revolutionary invention as it was about to change whole transportation history.,no,No conclusion
Being able to negotiate in an exceptional way is one of the requirements for succeeding in business.,to become sucessful in business you need to have excellent negotiation skills,no,No conclusion
Workout gives the body's muscles the best performance.,"For a four-core CPU, two workers give the best performance, although the difference is not large when compared to four workers.",no,No conclusion
"When hair is wet, subtle structural absorbs water.","If subtle structural absorbs water, its structure changes.",yes,"When hair is wet, subtle structural changes."
Turning trees to charcoals could be a reason for loss of forest area.,The lack of factors that are deemed important by some stakeholders could be a reason for loss of motivation and even for calling off the project.,no,No conclusion
The short form of packing and labeling is PP.,PP is often used in packaging and labeling.,no,No conclusion
defensive pessimism actually helps anxious people focus away from their emotions., Thinking independently from feelings can help people plan and act effectively.  ,yes,defensive pessimism actually helps anxious people plan and act effectively.  
trains travel on rails which have no traffic,The lack of traffic can significantly decrease the duration of your travels,yes,Trains can significantly decrease the duration of your travels
The only reason of fear in adults is because of parents' bad behavior in their childhood.,all people who are timid are liars.,yes,telling lie in adults is the cause of bad bahaviour of parents in childhood.
Increased production of cortisol increases fat storage ,Weight gain fastens when fat storage is increased ,yes,Increased production of cortisol fastens weight gain
Butane is considered as a Green house gas,Green house gases are burnt to minimize their effect,yes,Butane is burnt to minimize its effect
"Foods which contain harmful viruses, bacteria, and parasites increases your risk of foodborne illness, otherwise known as food poisoning.","Undercooked or raw meat of any kind may harbor harmful viruses, bacteria, and parasites",yes,"Undercooked or raw meat of any kind may increases your risk of foodborne illness, otherwise known as food poisoning."
"palatable means that is very quickly broken down in the mouth, does not require much chewing.",Fast food is highly palatable.,yes,"Fast food is very quickly broken down in the mouth, does not require much chewing."
consumers who have more income will tend to spend more which can help economic growth,A potential benefit of increasing the minimum wage is that it boosts the income of low-income workers,yes,A potential benefit of increasing the minimum wage economic growth
Drought conditions jeopardize access to cleaning water,Inaccessibility to clean water can increase the risks of certain diseases like cholera,yes,Drought conditions can increase the risks of certain diseases like cholera
Sweat releases dirt through your pores reducing acne,The amount of acne is lowered because of the discharge of dirt by sweat through the skin openings.,no,No conclusion
"When excellency is demanded, you have to challenge yourself to do your best",The best job is the one that forces you to grow beyond your current skill set,yes,The best job is the one that demands excellency
by compressing moist fibres of cellulose pulp a thin material will be produced which is called a paper,It comprises mainly lignin and cellulose fibres too thin for re-use with an organic matter content of 10 % to 30 %,no,No conclusion
Digital point-of-sale and supporting software helped SMEs improve internal operations,Digital Point of Sale is proven to attract more attention than traditional advertising by capturing the customer's curiosity,yes,capturing the customer's curiosity can improve SMEs internal operations
Eating fruit that contain lycopene are known to lessen the chances of getting cancer,The risk of developing cancer will become lower by eating lycopene-containing fruits.,no,No conclusion
Contracted pathways resembles the high historic value of a city.,Tabriz is made of narrow streets and avenues.,yes,Tabriz has high historic value.
Tourism allows a community to diversify their sources of income,Expanding the sources of earnings is especially important for rural communities,yes,Tourism is especially important for rural communities
An online ordering system provides you with customer related data,"When you have analytics about your customers, you can send targeted promotions to them",yes,you can send targeted promotions to your customers with an online ordering system
differential diagnostic used to identify the presence of the disease where multiple symptoms are possible,SLE symptoms vary widely and come and go unpredictably,yes, differential diagnostic used to identify the SLE
"kwashiorkor is a condition in which the deprivation of protein and calories from an individual’s diet will lead to failure to thrive, edema, excessive hair growth, and depigmentation, along with the development of red hair.",Severe malnutrition can lead to a condition known as kwashiorkor.,yes,"Severe malnutrition can lead to a condition in which the deprivation of protein and calories from an individual’s diet will lead to failure to thrive, edema, excessive hair growth, and depigmentation, along with the development of red hair."
Sustainable buildings are especially important in regions struggling with the lack of water,"Certain kinds of social structure, however, are especially important in facilitating some forms of social capital.",no,No conclusion
"Antioxidants reduce the risk of many diseases, including heart disease and certain cancers.",The risk of many diseases like heart disease and specific cancer is decreased by antioxidants.,no,No conclusion
Supporting medical expenses provides more access to physicals and preventative medicine. ,graduates have more benefits including health insurance.,yes,graduates have more access to physicals and preventative medicine.
Mediterranean landscapes possess abundant traces of salt and unusual gravel.,The plentiful salt and gravel in area is an evidence of desert territory.,yes,Mediterranean landscapes once was a desert.
"Having larger bone loss than its healthy amount can be more commone after menopause, due to lower levels of estrogen. ",Including more healthy fat in your diet can help improve your mood.,no,No conclusion
High inflation reduces the currency value of the country.,Hospitality is an advocated value in Iran.,no,No conclusion
nature-based reservoirs allow achieving a trade-off between human water demand and riverine ecosystems protection,"with the capability of reaching a resolution between the need for water and the conservation of river biomes, it is possible to contribute to the local sustainable development of social economy and ecological environment",yes,it is possible to contribute to the local sustainable development of social economy and ecological environment with nature-based reservoirs
science and technology upsurge in a country results in fortified infrastructure and prosperity.,Iran has the Highest science & technology growth rate in the world.,yes,Iran has  fortified infrastructure and prosperity.
Leeches penetrates the host’s skin to consume blood.,Penetrated skin makes host’s body vulnerable to infection.,yes,Leeches make host’s body vulnerable to infection.
Coal is a nonrenewable resource.,Nonrenewable resources do not exist in infinite supply.,yes,Coal does not exist in infinite supply.
You can prevent hair friction and break if you cover your hair after washing it.,"Coating your hair in oil after you wash it reduces the amount of friction caused by styling, making your hair less likely to snag and break.",no,No conclusion
"Insoluble fiber also helps balance the pH in your intestine, and may prevent diverticulitis.",Diverticulitis is inflammation of the intestine.,yes,"Insoluble fiber also helps balance the pH in your intestine, and may prevent inflammation of the intestine."
Behavioral and personality changes are commonly observed due to changes of the brain structure.,Nail changes are commonly observed in patients with plaque psoriasis.,no,No conclusion
The effect causes increase of the energy and angular momentum of the particle measured by an observer at rest at infinity.,The greenhouse effect causes temperature increase.,no,No conclusion
Asia has many unknown breathtaking routes and destinations., We expect that providing a rapid and parameter-free software for local ancestry inference will make more accessible genomic studies about admixture processes.,no,No conclusion
Regions with a high amount of burning oil tend to have severe air pollution. ,"transport is a major user of energy, burning most of the world's petroleum.",yes,transport is a major cause of air pollution.
Pascal examined the choice between being religious or being atheist by decision tree.,The choices that I had were endless.,no,No conclusion
Antioxidants are known to prevent cancer,Lycopene and vitamin C are anti-inflammatory antioxidants found in watermelon,yes,The Lycopene and vitamin C found in watermelon are known to prevent cancer
People are born with all of the hair follicles they are ever going to have.,The number of hair follicles stays the same all through a person’s life.,no,No conclusion
One of the most cited economic impacts of the fatness is direct medical spending.,The growing childhood obesity epidemic is a result of technology.,yes, direct medical spending is one of the result of technology.
Increased insulin release makes your body resistant to insulin ,"When you eat sugary food, insulin release in your body increases",yes,When you eat sugary food your body becomes resistant to insulin 
Antioxidants like gallic acid and other polyphenols help prevent damage to cells caused by unstable molecules known as free radicals.,"The molasses in muscovado provides some antioxidants as well, including gallic acid and other polyphenols.",yes,The molasses in muscovado help prevent damage to cells caused by unstable molecules known as free radicals.
Some arguments are simply a waste of your time and energy,The squander of your time and energy is the only outcome of some quarrels.,no,No conclusion
rising levels of carbon dioxide are turning down global air conditioner.,Deforestation is rising the amount of CO2.,yes,Deforestation is turning down global air conditioner.
Gross tough particles in mixture increase the compressive strength.,The mixture of daily exercise and healthy nutrition can increase the strength of the bones.,no,No conclusion
Milan Fashion week annually catches the interest of many people looking for new clothing materials.,Fashion designers tend to introduce their new line of work in places with high interest.,yes,Fashion designers are interested to participate in Milan Fashion Week.
thinking problems make both short- and long-term changes in the brain.,"Abuse, whether physical, emotional or verbal, can make some problems with your mental health.",yes,"Abuse, whether physical, emotional or verbal, can make both short- and long-term changes in the brain."
"you will not repeat your mistakes, when you find out about them",Constructive critics help children recognize their mistakes,yes,Constructive critics helps children not to repeat their mistakes
The history of science fiction begins long time ago.,Star Wars is a critically acclaimed science-fiction franchise in history.,no,No conclusion
mumps virus makes your saliva galnds swell up,mumps is a contagious disease caused by a virus,yes,mumps is a contagious disease which makes your saliva glands swell up
Diets that are high in protein and meat may cause calcium loss.,Main reason of osteoporosis and poor bone health is calcium loss.,yes,Diets that are high in protein and meat may cause osteoporosis and poor bone health is calcium loss.
Chains of gold are stronger than chains of iron and steel.,A magnet is any piece of material that has the property of attracting iron (or steel).,no,No conclusion
Endless arguments at home can break up marriages.,Many marriages break up due to constant arguing in house,no,No conclusion
"there is an enemity to ""liberal democracy""  in  Marxist orthodoxy ","Within Marxist orthodoxy there is a hostility to what is commonly called ""liberal democracy""",no,No conclusion
"when male staff employees view women as less capable or less able to perform work tasks, gender inequality happens",Gender organization of schooling and television viewing among early adolescents: a test of two alternative hypotheses.,no,No conclusion
Ultrasonic waves are utilized for vibrating water,vibration of water breaks its components,yes,Ultrasonic waves breaks water's components
"When abnormal cells divide rapidly, and spread to other tissue and organs an umbrella term for a large group of diseases occure.","Cancer occure when abnormal cells divide rapidly, and spread to other tissue and organs.",yes,Cancer is an umbrella term for a large group of diseases.
Imam Khomeini ordered the establishment of Basij.,Organizing paramilitary voluntary militia favored villagers with vital requirements such as road and electricity.,yes,Imam Khomeini favored villagers with vital requirements such as road and electricity.
the accident clearly potrayed the need for guard rails,installing guard rails will establish the need for better safety,yes,the accident clearly portrayed the need for better safety
The venom is made of a complicated combination of materials that contain neurotoxins.,The venom contained glands are complex modified salivary glands located in the lower jaws.,no,No conclusion
Konami earned a prominent reputation with dawn of metal gear solid series. ,Reputation is Talor Swift's prominent album that earned many awards.,no,No conclusion
There are large amounts of water and fiber in fruits and vegetables.,Fruits and vegetables contain alot amount of water and fibre.,no,No conclusion
Midle east has an ancient history.,Iran holds the second-biggest oil reserves in the Middle East.,no,No conclusion
airplanes offer passengers a limited view while on the move,Travellers who are fond of sightseeing while travelling avoid getting on vehicles that might restrict their sight,yes,Travellers who are fond of sightseeing while travelling avoid getting on planes
"A central bank is an institution that manages the currency ,money supply, and interest rates of a state or formal monetary union",Central banks in most developed nations are usually independent from political interference,yes,"Institutions that manage  the currency ,money supply, and interest rates of a state or formal monetary union, are usually independent from political interference"
Children in large families -particularly the younger siblings-generally have fewer allergies than children in small families do.,Exposure to germs during infancy makes people less likely to develop allergies.,yes,Children in large families -particularly the younger siblings- are exposed to more germs during infancy than children in small families. 
The wooden beam is reinforced with a metal plate,F16 falcon fighter is reinforced with Active Electronically Scanned Array (AESA) radar.,no,No conclusion
 taking onion skin extract cause an appropriate body weight by a small amount in people who are overweight or obese. ,a fitting weight in fat people contributes them to feel more positive.,yes, taking onion skin extract  in obese people contributes them to feel more confident
American Revolution was the beginning of the decolonization of the Americas.,To answer what is the American Revolution we must first understand the concept of decolonization.,no,No conclusion
Employment options are low for people who live in poor countries.,People in low-income countries don't have many employment options.,no,No conclusion
"Unlike other universities that offer communication degrees, Drexel's renowned cooperative education program gives students experience through up to three, six-month periods of full-time employment.","Oxfordshire was renowned for the coexistence of the arable and pasture, and of lands under various crop rotations.",no,No conclusion
"my little sister learn new words like sugar, ice cream, and coffee.",adding sugar and cream to coffee is not healthy,no,No conclusion
"A damaging level of stress may be imposed on children and adolescents if they are bullied by racists, or even only see/hear them.","Being the target of racist acts, or even just seeing or hearing about them, can cause unhealthy levels of stress in children and adolescents.",no,No conclusion
