Premise 1,Premise 2,Syllogistic relation
"Learning and practicing behavior therapy requires time and effort, but has lasting benefits for the child.",Hosting a major sporting event has lasting benefits for the nation's health,no
Tesla cars are equipped with auto-pilot technology.,remotely operating cars may instigate catastrophic car accidents.,yes
Stop smoking in front of children or else you will see a continuous smoking in parents of the future.,Children usually see their smoking parents while they are smoking.,no
most drugs besides having benefits have some side effects,the varying side effects of drugs can alter your mood and emotions ,yes
Most of us spend a large percentage of our day at work,It is very important to enjoy the people you spend most of your time with,yes
Massive data project attempts to trace back the DNA of black people.,Tracking the hierarchy of African-Americans will assist them find their enslaved ancestors.,yes
Bring a well-insulated less heaviy cooler for the pool party.,"You will pay less for bills, once you have installed well-insulated windows",no
feeling alone and helpless often results in depression,One of the factors that lead to depression is the feeling of isolation and powerlessness.,no
Some of the cultural icons are entertainers.,It's a cultural icon to have good entertainers for children.,no
The equipment of solar radiation for residential purposes will contribute to the lowering of the air pollutant levels,"Personnel working with radar, X-ray equipment or near other sources of radiation wear radiation dosage film badges that detect their level of radiation.",no
placing pressure on endangered species can gradually destroy the environmental resources.,The topic on TV was about 'endangered species' destroy the environment.,no
The behaviour of the elephant may lead to a decrease in the amount of carbon dioxide in the atmosphere.,Elephants can be effective in reducing the carbon dioxide of the atmosphere.,no
The transportation system in Paris used to carry about 9500 people which was considered a revolutionary progress in the 1960s.,Invention of wheel is considered as a revolutionary invention as it was about to change whole transportation history.,no
Being able to negotiate in an exceptional way is one of the requirements for succeeding in business.,to become sucessful in business you need to have excellent negotiation skills,no
Workout gives the body's muscles the best performance.,"For a four-core CPU, two workers give the best performance, although the difference is not large when compared to four workers.",no
"When hair is wet, subtle structural absorbs water.","If subtle structural absorbs water, its structure changes.",yes
Turning trees to charcoals could be a reason for loss of forest area.,The lack of factors that are deemed important by some stakeholders could be a reason for loss of motivation and even for calling off the project.,no
The short form of packing and labeling is PP.,PP is often used in packaging and labeling.,no
defensive pessimism actually helps anxious people focus away from their emotions., Thinking independently from feelings can help people plan and act effectively.  ,yes
trains travel on rails which have no traffic,The lack of traffic can significantly decrease the duration of your travels,yes
The only reason of fear in adults is because of parents' bad behavior in their childhood.,all people who are timid are liars.,yes
Increased production of cortisol increases fat storage ,Weight gain fastens when fat storage is increased ,yes
Butane is considered as a Green house gas,Green house gases are burnt to minimize their effect,yes
"Foods which contain harmful viruses, bacteria, and parasites increases your risk of foodborne illness, otherwise known as food poisoning.","Undercooked or raw meat of any kind may harbor harmful viruses, bacteria, and parasites",yes
"palatable means that is very quickly broken down in the mouth, does not require much chewing.",Fast food is highly palatable.,yes
consumers who have more income will tend to spend more which can help economic growth,A potential benefit of increasing the minimum wage is that it boosts the income of low-income workers,yes
Drought conditions jeopardize access to cleaning water,Inaccessibility to clean water can increase the risks of certain diseases like cholera,yes
Sweat releases dirt through your pores reducing acne,The amount of acne is lowered because of the discharge of dirt by sweat through the skin openings.,no
"When excellency is demanded, you have to challenge yourself to do your best",The best job is the one that forces you to grow beyond your current skill set,yes
by compressing moist fibres of cellulose pulp a thin material will be produced which is called a paper,It comprises mainly lignin and cellulose fibres too thin for re-use with an organic matter content of 10 % to 30 %,no
Digital point-of-sale and supporting software helped SMEs improve internal operations,Digital Point of Sale is proven to attract more attention than traditional advertising by capturing the customer's curiosity,yes
Eating fruit that contain lycopene are known to lessen the chances of getting cancer,The risk of developing cancer will become lower by eating lycopene-containing fruits.,no
Contracted pathways resembles the high historic value of a city.,Tabriz is made of narrow streets and avenues.,yes
Tourism allows a community to diversify their sources of income,Expanding the sources of earnings is especially important for rural communities,yes
An online ordering system provides you with customer related data,"When you have analytics about your customers, you can send targeted promotions to them",yes
differential diagnostic used to identify the presence of the disease where multiple symptoms are possible,SLE symptoms vary widely and come and go unpredictably,yes
"kwashiorkor is a condition in which the deprivation of protein and calories from an individual’s diet will lead to failure to thrive, edema, excessive hair growth, and depigmentation, along with the development of red hair.",Severe malnutrition can lead to a condition known as kwashiorkor.,yes
Sustainable buildings are especially important in regions struggling with the lack of water,"Certain kinds of social structure, however, are especially important in facilitating some forms of social capital.",no
"Antioxidants reduce the risk of many diseases, including heart disease and certain cancers.",The risk of many diseases like heart disease and specific cancer is decreased by antioxidants.,no
Supporting medical expenses provides more access to physicals and preventative medicine. ,graduates have more benefits including health insurance.,yes
Mediterranean landscapes possess abundant traces of salt and unusual gravel.,The plentiful salt and gravel in area is an evidence of desert territory.,yes
"Having larger bone loss than its healthy amount can be more commone after menopause, due to lower levels of estrogen. ",Including more healthy fat in your diet can help improve your mood.,no
High inflation reduces the currency value of the country.,Hospitality is an advocated value in Iran.,no
nature-based reservoirs allow achieving a trade-off between human water demand and riverine ecosystems protection,"with the capability of reaching a resolution between the need for water and the conservation of river biomes, it is possible to contribute to the local sustainable development of social economy and ecological environment",yes
science and technology upsurge in a country results in fortified infrastructure and prosperity.,Iran has the Highest science & technology growth rate in the world.,yes
Leeches penetrates the host’s skin to consume blood.,Penetrated skin makes host’s body vulnerable to infection.,yes
Coal is a nonrenewable resource.,Nonrenewable resources do not exist in infinite supply.,yes
You can prevent hair friction and break if you cover your hair after washing it.,"Coating your hair in oil after you wash it reduces the amount of friction caused by styling, making your hair less likely to snag and break.",no
"Insoluble fiber also helps balance the pH in your intestine, and may prevent diverticulitis.",Diverticulitis is inflammation of the intestine.,yes
Behavioral and personality changes are commonly observed due to changes of the brain structure.,Nail changes are commonly observed in patients with plaque psoriasis.,no
The effect causes increase of the energy and angular momentum of the particle measured by an observer at rest at infinity.,The greenhouse effect causes temperature increase.,no
Asia has many unknown breathtaking routes and destinations., We expect that providing a rapid and parameter-free software for local ancestry inference will make more accessible genomic studies about admixture processes.,no
Regions with a high amount of burning oil tend to have severe air pollution. ,"transport is a major user of energy, burning most of the world's petroleum.",yes
Pascal examined the choice between being religious or being atheist by decision tree.,The choices that I had were endless.,no
Antioxidants are known to prevent cancer,Lycopene and vitamin C are anti-inflammatory antioxidants found in watermelon,yes
People are born with all of the hair follicles they are ever going to have.,The number of hair follicles stays the same all through a person’s life.,no
One of the most cited economic impacts of the fatness is direct medical spending.,The growing childhood obesity epidemic is a result of technology.,yes
Increased insulin release makes your body resistant to insulin ,"When you eat sugary food, insulin release in your body increases",yes
Antioxidants like gallic acid and other polyphenols help prevent damage to cells caused by unstable molecules known as free radicals.,"The molasses in muscovado provides some antioxidants as well, including gallic acid and other polyphenols.",yes
Some arguments are simply a waste of your time and energy,The squander of your time and energy is the only outcome of some quarrels.,no
rising levels of carbon dioxide are turning down global air conditioner.,Deforestation is rising the amount of CO2.,yes
Gross tough particles in mixture increase the compressive strength.,The mixture of daily exercise and healthy nutrition can increase the strength of the bones.,no
Milan Fashion week annually catches the interest of many people looking for new clothing materials.,Fashion designers tend to introduce their new line of work in places with high interest.,yes
thinking problems make both short- and long-term changes in the brain.,"Abuse, whether physical, emotional or verbal, can make some problems with your mental health.",yes
"you will not repeat your mistakes, when you find out about them",Constructive critics help children recognize their mistakes,yes
The history of science fiction begins long time ago.,Star Wars is a critically acclaimed science-fiction franchise in history.,no
mumps virus makes your saliva galnds swell up,mumps is a contagious disease caused by a virus,yes
Diets that are high in protein and meat may cause calcium loss.,Main reason of osteoporosis and poor bone health is calcium loss.,yes
Chains of gold are stronger than chains of iron and steel.,A magnet is any piece of material that has the property of attracting iron (or steel).,no
Endless arguments at home can break up marriages.,Many marriages break up due to constant arguing in house,no
"there is an enemity to ""liberal democracy""  in  Marxist orthodoxy ","Within Marxist orthodoxy there is a hostility to what is commonly called ""liberal democracy""",no
"when male staff employees view women as less capable or less able to perform work tasks, gender inequality happens",Gender organization of schooling and television viewing among early adolescents: a test of two alternative hypotheses.,no
Ultrasonic waves are utilized for vibrating water,vibration of water breaks its components,yes
"When abnormal cells divide rapidly, and spread to other tissue and organs an umbrella term for a large group of diseases occure.","Cancer occure when abnormal cells divide rapidly, and spread to other tissue and organs.",yes
Imam Khomeini ordered the establishment of Basij.,Organizing paramilitary voluntary militia favored villagers with vital requirements such as road and electricity.,yes
the accident clearly potrayed the need for guard rails,installing guard rails will establish the need for better safety,yes
The venom is made of a complicated combination of materials that contain neurotoxins.,The venom contained glands are complex modified salivary glands located in the lower jaws.,no
Konami earned a prominent reputation with dawn of metal gear solid series. ,Reputation is Talor Swift's prominent album that earned many awards.,no
There are large amounts of water and fiber in fruits and vegetables.,Fruits and vegetables contain alot amount of water and fibre.,no
Midle east has an ancient history.,Iran holds the second-biggest oil reserves in the Middle East.,no
airplanes offer passengers a limited view while on the move,Travellers who are fond of sightseeing while travelling avoid getting on vehicles that might restrict their sight,yes
"A central bank is an institution that manages the currency ,money supply, and interest rates of a state or formal monetary union",Central banks in most developed nations are usually independent from political interference,yes
Children in large families -particularly the younger siblings-generally have fewer allergies than children in small families do.,Exposure to germs during infancy makes people less likely to develop allergies.,yes
The wooden beam is reinforced with a metal plate,F16 falcon fighter is reinforced with Active Electronically Scanned Array (AESA) radar.,no
 taking onion skin extract cause an appropriate body weight by a small amount in people who are overweight or obese. ,a fitting weight in fat people contributes them to feel more positive.,yes
American Revolution was the beginning of the decolonization of the Americas.,To answer what is the American Revolution we must first understand the concept of decolonization.,no
Employment options are low for people who live in poor countries.,People in low-income countries don't have many employment options.,no
"Unlike other universities that offer communication degrees, Drexel's renowned cooperative education program gives students experience through up to three, six-month periods of full-time employment.","Oxfordshire was renowned for the coexistence of the arable and pasture, and of lands under various crop rotations.",no
"my little sister learn new words like sugar, ice cream, and coffee.",adding sugar and cream to coffee is not healthy,no
"A damaging level of stress may be imposed on children and adolescents if they are bullied by racists, or even only see/hear them.","Being the target of racist acts, or even just seeing or hearing about them, can cause unhealthy levels of stress in children and adolescents.",no
Felidae species are solitary predators ambushing or stalking their prey.,"The leopard is one of the five extant species in the genus Panthera, a member of the Felidae.",yes
Economic reliance forces nations to emphasize mutually beneficial activities to ensure joint preservation and progress.  ,  Globalization has generated interdependence of economic. ,yes
Being enough amount of vitamin E in the body can improve the action of eyes.,Nuts and seeds are containing vitamin E.,yes
Milk has large amount of vitamin B2.,People who have a history of kidney stones are more likely to form them if they take large amounts of vitamin C.,no
What is your understanding of analysis and synthesis in design?,Scientific management analyzes and synthesizes workflows.,no
Hidradenitis Suppurativa is a skin disorder resulted from inflammation of sweating channels.,"As a result, her skincare YouTube channel has good movies.",no
a division of work allows each team member to specialise in their own fields,particularised work force is of enormous importance in large companies,yes
Your system may have delays if you keep unnecessary emails in your inbox.,The unnecessary e-mails on your inbox have the ability to slow down your system,no
The Mediterranean diet has been shown to boost the good bacteria in your gut,A doubling in the size of private credit in a developing country has been shown to boost the growth rate by an average of 2 percentage points a year.,no
I can't sleep tonight because my neighbor has an outdoor wedding.,we are going to have an outdoor wedding ,no
Morning exercise can improve decision-making across the day,Artificial intelligence can improve decision-making in infection management.,no
For reduction of the effects of air pollution you shoud avoid the main pollutants.,Main contaminants should be avoided to reduce the impacts of air pollution.,no
Typical weaknesses of wind turbines are the reason new wind farms come up against strong public objection,Please respect the private and public ownership of this property and act in a safe and reasonable manner.,no
Interactions between alcohol and certain antibiotics decrease the effectiveness of antibiotic therapy.,"When antibiotic treatment is not sufficient, you should take stronger medicine. ",yes
"Many of the foods we eat contain protein, particularly flesh foods.",Dairy foods are containing a lot of calcium.,no
J. J. Thomson was a physicist who discovered the electron.,Discovery of the electron helped revolutionize the knowledge of atomic structure.,yes
Workers’ productivity decrease if they get exhausted.,"When workers are bored, their productivity may fall",no
uplift forces are implemented to the dam by transmitted water,The water behind the dam provides the electricity force for residents of the city.,no
Reading stories to children opens them up to a variety of ideas.,"The competition is open to a variety of ideas, not just business start-ups.",no
Showing reaction to words is a sign that they have real meaning.,When something has a real meaning babies understand it sooner.,yes
Reading improves your conversational skills.,Studying books will increase your vocabulary and your knowledge of how to correctly use new words.,yes
These systems are connected to existing grids but can disconnect and operate on their own with power from batteries,"In Brazil, 53% of entrepreneurs operate on their own, with no co-founders or employees",no
"When new commerces are admitted into the marketplace,your marketshare might become smaller",Your market share will shrink if new businesses are introduced to the market place.,no
Tourist attractions bring a lot of foreigners to the country., Isfahan has many historical buildings and tourist attractions.,yes
Diabetes is a chronic but manageable condition in which the body struggles to control the levels of blood sugar.,"The following scenario highlights the journey of a family that struggles to control their son's chronic condition, and how the new model aids in their management.",no
"When you get pleasure from flash backs to your day , you're likely to live longer","When you're happy with your job, you'll look back at your day with satisfaction",yes
The food can be digested a lot easier if it is made with fresh products.,fresh ingredients can significantly help with digestion,no
NASA built the hubble telescope.,The National Aeronautics and Space Administration is NASA.,no
This planet of ours is not benefitted from garbage consisting of plastic material.,plastic waste is not good for our planet,no
People with shared interests can do much more compared to discrete individuals.,Campaigns are where people with a shared interest come together.,yes
"When nail fungus begins to overgrow, you can get an infection. ",These were times when zombie flicks actually tore a chunk of gory nail from a young horror enthusiast's fingers.,no
Overly specific production systems could be brought to a halt if there is a blockage in one area,Some assembly lines are highly specialised,yes
"Osama bin Laden founded the global terror network, Al-Qaeda.",Thousands of innocent people were killed as a result of Al-Qaeda's terrorist attacks.,yes
"Older physicians, in contrast, probably looked forward to returning to their established practices.",David Hepburn was a physician and anatomist.,no
 Committing self-destruction by teenagers spreads depression in society. ,Unemployed youths accept suicide as the last option of their life,yes
Warm air rising from below causes the wind tube to reach toward the ground.,"When the wind tube to reach toward the ground, tornadoes form.",yes
The addition of lanes greatly facilitates the movement of traffic.,extra lines help a lot with improving the traffic flow,no
Sleep disorders may occur in patients with Alzheimer disease.,"People who struggled with remembering kinds of stuff, their digestive systems may have been thrown off. ",yes
Hosting a major sporting event can help promote uptake of sport,An enhanced engagement in sports has lasting benefits for the nation’s health,yes
Vitamin B3 can impower the skin's heath.,Wheat flour have large amount Niacin in it.,yes
Real learning happens outside the walls of a class room,You can gain new experiences when you get outside of the learning environment,yes
Health and well-being need care.,Cloud providers are a “source of systemic risk” for banks and need to be regulated.,no
The decrease in heart rate is generally associated with vagally mediated slowing as the baroreceptors respond to BP elevations .,Moderate doses of coffee have been shown to reduce resting heart rate due to a moderate increase in BP. ,yes
If a newspaper wants to publish photos of our students should first recieve allowance from the administration.,Administration confiscated copies of the student newspaper.,no
Small business often struggle to provide the budget for examination procedures,Developing new products requires a process of trial and error,yes
North Korean citizens live under heavy isolation as no foreign passenger can't travel there with a non govermentally supervised flight.,"When someone on the flight is suspected of having the flu, other passenger should be placed in medical isolation.",no
Eggs are containing big amount of Niacin.,Vitamin B3 in the body will change to nicotinic acid which taking high doses of that could lead to liver damage.,yes
Stars use up all of the fuel at the end of their lives.,"At the end of their lives, stars turn into red giants.",no
Drinking lemon water helps with weight loss,Losing weight is associated with a healthy lifestyle,yes
Facing criticisms from others might put you down,You're likely to surrender when you have low moods,yes
The power of transmedia storytelling starts with understanding of the power of narrative and story.,Dealing with depression starts with understanding of yourself,no
osteoporosis is more common in females than in males.,A new study that examines common medications to dementia highlights that the side effects differ between males and females.,no
"Spending so much time and energy on the development of the plan, would negatively impact its implementation",I didn't have enough time to plan for the extra we need.,no
"Half of the fat in peanut butter is made up of oleic acid, a healthy type of monounsaturated fat also found in high amounts in olive oil.","The link between high consumption of trans fats, sugar and salt, found in high amounts in processed food, and an increased risk of cardiovascular diseases (CVDs), type 2 diabetes and various cancers is well established.",no
increasing the average global weather degrees makes oceans to warm.,Increasing the average energy of reactant molecules makes the energy difference between the average energy and the transition-state energy smaller.,no
"Air traffic control is the task of ensuring the safty, orderliness and efficiency of aircraft movements","managing the traffic created by the movement of aircraft,is a series of highly complex operations that requires managing frequent traffic that moves in all three dimensions",yes
"Due to the unwanted ultimate outcomes,like constructional crumbles or budget exceedings,those with experience in the field make detailed plans and maintain careful oversight during the project to ensure a positive outcome","projects of varying sizes may reach undesirable conclusions , such as structural collapse or cost overruns",yes
Being particularly vulnerable to the sun’s damaging rays cause skin cancer.,While the entire neck needs SPF — including the front part that’s usually in the shadow of your jaw — the sides and back of the neck are particularly vulnerable to the sun’s damaging rays.,yes
"Because calcium carbonate requires stomach acid for absorption, it's best to take this product with food.","For maximum absorption, it’s best to take iron on an empty stomach.",no
Having a good nap and sleeping help our body relaxation.  ,We have a natural desire to want to help others.,no
Employees who work for extended hours are likely to have more inadequate sleep.,Sleeping with low-quality can disturb the performance of workers. ,yes
Technical innovation is a scientific topic and instrumental in improving the quality of products.,"There was a potential for science, technology, and innovation to take the form of ODA.",no
A cause of acne is sleep deprivation.,The same medicines used for acne often work for sleep deprivitaion.,no
Landmarks are referred to as prominent distinctive monuments and buildings,Paris has many monuments and prominent buildings,yes
Asprin hinders blood cells from adhesion and formation of clots.,Asprin prevent blood cells from sticking together to form clots.,no
During the second World War many new engineering problems were made.,Many problems were made students to do by the teacher.,no
most artisan fishers use customary vessels,"undecked boats are traditional craft of various types, which are powered only by sail and oars",yes
"Laticifers are perforated to form latex vessels, through which the latex travels.","A dandelion’s latex is made by specialized cells called laticifers, which form long chains inside the plant.",yes
I was eating fruit and drinking juice and thinking about how juicing process work?,"The juicing process releases sugars from the cells of the fruit, turning them into free sugars.",no
"Vancouver covered with snow, and all the streets have been frozen now.","Where before there were only streets, now there is frozen and plants that separate them from those streets.",no
Restricting treatments within projects to foreseeable impacts falls short of the range of uncertainties that can disrupt attention from fulfilling project plans and objectives.,"If not silenced, cell phones can disrupt everyone's attention from the classes.",no
We should keep our brain primed and well-suited for almost any situation by using some well-researched techniques for practicing our mind.,"Some well-researched techniques for practicing our mind are reading books, meditation and yoga, memorizing poems.",yes
Buffers are present in biological fluids.,"Presence of buffers, resist changes to their PH when acids or bases are introduced.",yes
Red and green peppers is containing large amount of Vitamin C.,In the spring and early summer the cows usually have access to pasture or are fed considerable quantities of green feeds which contain comparatively large amounts of carotin.,no
"The molasses in muscovado provides some antioxidants as well, including gallic acid and other polyphenols.","we mentioned strong antioxidants, such as quercetin, which protect brain cells from oxidative damage.",no
thinking problems make both short- and long-term changes in the brain.,Brain of a mammal is bigger than reptile.,no
high unemployment rates usually result in higher crime rates,high rates of crime create an unsecure environment for foreign investments,yes
winter is chilly in northern Europe.,Woolen dresses are useful in cold weather.,yes
Withstanding extreme airstreams requires detailed design procedure.,Race cars encounter severe wind blows on the surface.,yes
Wrestling plays a very important rule in Irans culture,National sport of a country is the most important sport for its culture,yes
Being sociable can improve your mood and quality of life.,Extravertive people are sociable.,yes
Many people who live in western area of the city use metro to avoid the heavy traffic.,The traffic in western junctions of the city is smoothed by connecting San’at square and Mahdiye metro stations.,no
J. Allan Hobson provides a new and increasingly complete picture of how dreaming is created by the brain.,Technology neutrality is ensured in the Electronic Transactions Act by not dictating the technology which would be given preference.,no
the path to libration and freedom was more eased after the The failure of Ghaddafi’s army,The failure of Ghaddafi’s army soothed the path to liberation.,no
Value systems can be different from culture to culture. ,"Most of the basic values are learnt early in life from family, friends, media and other sources within  society.",yes
"Secondary Sources are one step removed from primary sources, though they often quote or otherwise use primary sources.",Soya beans are one calcium sources.,no
Workload is shared between members when working as a team,Team members can share the workload among themselves.,no
The agricultral engineers are conducting a large investigation to identify the most enriched soil in agricultral sites.,Geotechnical investigation determines the stratigraphy and relevant physical properties of the soil underlying the site.,no
Self-confidence allows athletes to reach that higher level. ,  Pessimism can even help to boost reliance. ,yes
all dangerous illness can kill people.,Weed is considered a dangerous drug for human health.,no
"Traffic accidents can lead to physical, financial and mental effects for everyone involved.", Talking on cell phones or other messengers is a distraction that contributes to car collisions.,yes
"For reduction of the effect of air pollution you shoud avoid particulate matter, a mix of solid and liquid droplets arising mainly from fuel combustion and road traffic.",The main air contaminant that must be decreased is the particulate matter which is composed of a combination of solid and liquid droplets usually produced by fuel burning and road traffic.,no
"After around 16 hours of staying awake, the body attempts to balance the need for sleep.",The brain obtains short sleep attacks called microsleeps to balance the demand for resting and take a nap.,yes
Tv gives you an illusion that you are missing out from not watching.,Giving an illusion that you are missing out from not watching make you to follow tv series and waste your time on watching series.,yes
healthcare workers fall into the category of community workers,community workers are one of the lowest-paid in the country,yes
It is complicated to treat eyesight problems fro young people.,Their relationship is so complicated that no one can figure it out.,no
a rise in the price level will make people who have money and other financial assets feel poorer,People tend to buy less when thry feel they can't afford purchasing goods,yes
"Drones are expected to become part of daily operations across industries as varied as insurance, agriculture, and journalism",daily operations are thebackbone of any business.,yes
"Daffodils, which produce galantamine, grow in Wales and are well-regarded for their prettiness and imagery.","In addition to being admired for its beauty and symbolism, the daffodil is grown in Wales to produce galantamine.",no
Fear of failure will hinder your kid from trying new things.,"If your kid is scared to fail,he will never try new things",no
SMEs in urban settings benefit from modern wireless and fibre broadband connections,There was an important contrast between modern and old urban settings.,no
Failure of operation Eagle Claw made USA embarrassed in the world.,I think she is the only person in the world that doesn't get embarrassed for failure easily.,no
The sale of shares to trade buyers or institutional investors can contribute to better control and a better governance structure.,Controlling stress automatically can contribute to better health.,no
High potassium intakes are also associated with a reduced risk of kidney stones.,"Many fresh fruits and vegetables are rich in potassium: Bananas, oranges, cantaloupe, honeydew, apricots, grapefruit.",yes
"To obtain an absolutely pure culture with certainty it is necessary, even when the gelatin method is employed, to start from a single cell.","When flowers obtain light, photosynthesis takes place to make oxygen. ",no
Cosmetics are substances or products used to enhance or alter the appearance of the face or fragrance and texture of the body,make-up materials are generally mixtures of chemical compounds derived from natural sources,yes
"In every low-income economy, wholesale/retail businesses account for more than half of their entrepreneurs",Retail has a lower barrier to entry,yes
Phosphorus is an essential nutrient used in fertilizer that helps plants become succulent.,Uneven skin is caused by deprivation of essential nutrients.,no
Most of the customers who are aware of their privileges tend to seek protection from faulty products,"When consumerism is the element driving society, then purchasers become familiar with their rights",yes
Consuming fructose increases your hunger and desire for food more than glucose.,fructose is a type of simple sugar.,yes
"This duty was about as pleasant as a stick in the eye in Dean's mind, but the interrupted householders were uniformly pleasant to him, making the necessary ordeal nearly tolerable.",the absence of upkeep duties can bring about peace of mind,no
"Appropriate behavior with children, encourages them to become happy.",Happiness in children’s life intensifies their performance through the chores.,yes
Many factors of juvenile violence are the result of experiencing constant tension,chronic stress can alter or harm the brain development of children and youth.,yes
Saeid is a smoker.,Saeid smokes cigarettes,no
Leaving the job you have at the moment might be one representation of taking a chance in career.,taking risks in your career might require getting out of your present job,no
with more qualifications you'll have more opportunities to move ahead in your career,It is possible to extend your skill set through studying,yes
Polyphenols are compounds that give grapes and other plants their vibrant colors.,All grape varieties contain polyphenols.,yes
"When working on an online platform, You can choose to outsource work to virtual assistants in countries where the cost of living is much lower",Less reparation costs are usually associated with lower wages,yes
Adding lemon juice to water enhances its flavor,We tend to drink more water when it tastes better,yes
The Watergate scandal made Nixon to resign the presidency.,Bankrupt made her resign all her rights in that property .,no
Obesity involves low-grade inflammation that may promote liver fat storage.,"Safe food involves promoting and monitoring safety during the composition, storage, and preparation of food products",no
"If the melanocytes will produce pheomelanin instead of eumelanin, a person will have blond or red hair.","If the MC1R gene does not function, the melanocytes will produce pheomelanin instead of eumelanin.",yes
Overfishing leads to a decrease in the population of productive fish.,The reduction in the community of fruitful fish results in the lesser stocking of the fish. ,yes
Nicotine has effect on the lungs and blood vessels.,Whatever has effect on the lungs and blood vessels can increase breathing disorders such as asthma and sleep apnea.,yes
varying auditory stimulus can cause changing in brain waves(slow down or speed up) that lead to Psychological changes,His research about the brain waves led to a huge change in the treatment method used for curing psychological illnesses,no
He said he wouldn't offer her any money until he had more facts,People who have experienced related education offer more professional services,no
"Before nymphs make their final adult forms, they molt four to six times and each time they become larger.",The company needs to develop a larger orientation towards marketing its products for adults.,no
 dieters seem to suffer from malnutrition.,people who have suffered from starvation feel weak.,yes
people who are physically inactive may Gain weight   , Internet Addiction Disorder encourages people toward a sedentary lifestyle.,yes
"People who Take up education as a long-term practice, are likely to be aware of the trends",These can be divided into programs to encourage rural people to take up health careers; preparing students in health fields for rural practice,no
"Now, the time of day is between noon and 2pm",everyday at this time of the day the sun is over and above the trees,yes
sandstorms are also unpleasant for humans and can bring about headaches and nausea,"During a sandstorm, the wind-blown sand particles become electrically charged",yes
decresing blood pressure can prove beneficial for people suffering from hypertension,eating oats is known to reduce the levels of blood pressure,yes
Innovation companies also have the advantage of experience on their side,It's easier to develop new products when you're superior in regards to maturity,yes
"When binary compounds, or compounds of two elements, are decomposed by an electric current, the two elements make their appearance at opposite poles.",Decomposition by organisms will make CO2.,no
"If you lose customers to your competitors, then your competitors will have a greater market share.","By losing customers to your rivals , you’re actually helping them to have bigger market share",no
There are both similarities and differences between the two cultures of the central European art of the Keltoi and Irish art.,"While early Irish art shows some similarities of style to central European art of the Keltoi, historians have also recognized many significant differences between the two cultures.",no
Atheism is the world view that denies the existence of God.,Do the world’s religions simply describe the same God from different points of view as contended by religious pluralists.,no
Increased competition from globalization helps stimulate technology development,Technological progresses improve economic output ,yes
The Rule of Law defines how a community should be governed.,"The Rule of Law comprises a number of principles of a formal and procedural character, addressing the way in which a community is governed.",no
"By learning code programing ,you can work autonomously.","by code programming, you can brand your content based on the exact format and style you seek.",yes
A friendship founded on business is better than business founded on friendship.,The whole theory was founded on a mistaken belief.,no
Plant growth in the ocean is the main reason of how ocean floor looks.,Ocean colors differ from place to place.,yes
Steam expansion raises the piston in cylinders.,Pumps are useful for expanding the steam.,yes
hospitals today have implemented modern techniques.,advanced technology and equipment in all kinds of medical centers significantly reduced the mistakes made by doctors.,yes
people who are dealing with stress and despair can improve their mental health by Yoga. ,Some people who are unsatisfied with their looks frequently struggle with anxiety and depression.,yes
Social engagement is associated with a stronger immune system,You can better fight off diseases with a boosted immune system,yes
She took up residense in northern America to easily travel to Alaska.,The warmest part of the country is located regions near the equator.,no
"Typically, when you reduce your calorie intake, your metabolism slows down and This is partly due to muscle loss.",Company administration to reduce its operation is close down partly.,no
irregular concentration ability disrupts the capability to focus on environmental sensory input ,  Sleep loss alters normal functioning of attention.,yes
Viral proteins can have multiple effects on host cell biology. ,Asia has so many natural tourist attractive regions and destinations.,no
Governance is imperative to making the best out of huge opportunities that improve the lives of residents,He sees it as a huge opportunity to speak to the people in as direct a way as possible.,no
Fall of apartheid system inspired people all over the world to fight against racism.,Nelson Mandela's role as the leading activist resulted apartheid racist regime come to an end.,yes
Underground piping is corrosion-resistant but can be easily blocked by plastic bottles.,"Plastic bottles, corrosion-resistant piping, geomembranes, and plastic lumber are made of HDPE.",no
Many people suffer from binge eating disorder.,A common eating disorder is binge eating disorder.,no
Highly elevated cities experience cold winters.,Tehran is a mountainside city with high altitude.,yes
"Overexposure to UV radiation may develops skin cancer, damage of the eye and the suppression of immune system.",The ozone layer absorbs most of the Sun's UV radiation. ,yes
"the GABAA receptor, promotes central nervous system depression",Alcohol's primary effect is the rise in stimulation of the GABAA receptor,yes
The unbalanced climate changes have reduced the Urmia Lake's water level in the past decades.,The water level reduction in Urmia Lake altered Flamingos’ migration pattern.,yes
Cod is containing large amount of Vitamin B12.,Vitamin B12 is important for releasing energy from food using folic acid.,yes
The book builds a platform for further cross-disciplinary and cross-boundary dialogue on the future of social economy in China and the world.,We are struggling with so many issues in the modern world.,no
"Gold is incredibly resistant to corrosion, rust and decay.","Gold cannot be corroded, rusted, or decayed.",no
Disease of the soul are more dangerous for people than those of the body like celiac disease.,"When people with celiac disease eat gluten, it damages their small intestine.",no
"Stroke is caused by a disturbance of blood flow to your brain, either due to a blood clot or bleeding.","Malnutrition (undernutrition) is caused by a lack of nutrients in your diet, either due to a poor diet or problems absorbing nutrients from food.",no
the deaf and the blind find it very difficult to acquire the amenities of conversation.,You might make blind purchases if you don't consult anyone.,no
Your vital requirement such as electricity that she wait till next week is reasonable.,Villagers were favored with vital requirements like road and electricity by organizing paramilitary voluntary militia.,no
the abrasion of the bedrock will bring about a deep plunge pool in the gorge downstream,the collision of blocks of rocks to each other will erode the base of the waterfall,yes
